Name,Year,Rating,Date
Jodorowsky's Dune,2013,2.5,2023-03-27
Daddy Longlegs,2009,3.5,2023-03-30
Training Day,2001,3,2023-03-31
The People Under the Stairs,1991,5,2023-04-01
boygenius: the film,2023,,2023-04-02
Modern Times,1936,4,2023-04-02
We Bare Bears: The Movie,2020,4,2023-04-02
DumbLand,2002,3,2023-04-02
TÁR,2022,4.5,2023-04-08
The Miseducation of Cameron Post,2018,4,2023-04-09
Stereo (Tile 3B of a CAEE Educational Mosaic),1969,1.5,2023-04-10
Auto Focus,2002,4.5,2023-04-10
Untitled: New Blue,1995,,2023-04-11
Puss in Boots: The Last Wish,2022,4,2023-04-15
Happiness,1998,3.5,2023-04-16
Brigsby Bear,2017,4,2023-04-16
Hereditary,2018,4,2023-04-19
The 'Burbs,1989,3,2023-04-21
Cosmopolis,2012,3.5,2023-04-22
A Dangerous Method,2011,3,2023-04-22
Maps to the Stars,2014,3,2023-04-22
Eastern Promises,2007,4,2023-04-23
Ernest & Celestine,2012,3.5,2023-04-23
Baby Oopsie 2: Murder Dolls,2022,3,2023-04-24
Baby Oopsie 3: Burn Baby Burn,2022,3,2023-04-24
John Mulaney: Baby J,2023,3,2023-04-26
Children of Men,2006,4.5,2023-04-26
Black Narcissus,1947,2.5,2023-04-27
Harold and Maude,1971,5,2023-04-27
Charade,1963,4,2023-04-30
Final Destination,2000,3,2023-04-30
Final Destination 2,2003,3,2023-04-30
Final Destination 3,2006,3,2023-04-30
House,1985,2.5,2023-05-02
Black Girl,1966,4.5,2023-05-02
The Deer Hunter,1978,3,2023-05-02
The Menu,2022,2.5,2023-05-03
Babylon,2022,2,2023-05-03
The Favourite,2018,3.5,2023-05-05
Dead Ringers,1988,4.5,2023-05-05
Female Trouble,1974,5,2023-05-05
When Harry Met Sally...,1989,4,2023-05-07
A History of Violence,2005,4,2023-05-08
Some Like It Hot,1959,4.5,2023-05-08
The Dead Zone,1983,3,2023-05-09
Hannah Gadsby: Something Special,2023,3,2023-05-11
The Canyons,2013,1.5,2023-05-11
Mikey and Nicky,1976,4,2023-05-12
Bones,2001,2,2023-05-14
The Honeymoon Killers,1970,2.5,2023-05-15
Inside,2023,2,2023-05-16
The Living End,1992,4,2023-05-17
Night of the Living Dead,1968,4,2023-05-18
A Night on Bald Mountain,1933,4,2023-05-19
Black Panther: Wakanda Forever,2022,3,2023-05-19
National Treasure,2004,3.5,2023-05-21
The Forty-Year-Old Version,2020,4,2023-05-22
Jupiter Ascending,2015,2,2023-05-23
Memento,2000,3.5,2023-05-24
The Seventh Continent,1989,4,2023-05-24
Cruising,1980,4.5,2023-05-27
Norma Rae,1979,4,2023-05-27
House II: The Second Story,1987,2,2023-05-28
The Big Lebowski,1998,4.5,2023-05-28
EO,2022,4,2023-05-29
The Incredibly True Adventure of Two Girls in Love,1995,4,2023-06-01
Ant-Man and the Wasp: Quantumania,2023,2.5,2023-06-02
The Doom Generation,1995,4.5,2023-06-03
Dreams,1990,4,2023-06-04
Lingua Franca,2019,4.5,2023-06-04
The Holy Mountain,1973,5,2023-06-10
The Celluloid Closet,1995,3,2023-06-13
The Times of Harvey Milk,1984,4.5,2023-06-15
Y Tu Mamá También,2001,4.5,2023-06-17
Bound,1996,4.5,2023-06-17
The Apartment,1960,4,2023-06-18
Casa Susanna,2022,3,2023-06-18
Anything Goes,2021,4,2023-06-19
Green Room,2015,4.5,2023-06-20
D.E.B.S.,2004,4,2023-06-20
Knock at the Cabin,2023,2,2023-06-21
Polite Society,2023,3.5,2023-06-21
Phantom of the Paradise,1974,5,2023-06-21
The Lighthouse,2019,5,2023-06-23
True Stories,1986,5,2023-06-23
Crimes of the Future,2022,4.5,2023-06-27
Call Me by Your Name,2017,4,2023-06-28
To Wong Foo Thanks for Everything! Julie Newmar,1995,3,2023-07-02
M3GAN,2022,2.5,2023-07-03
There Will Be Blood,2007,4,2023-07-03
Mysterious Skin,2004,5,2023-07-05
Sweet Smell of Success,1957,3.5,2023-07-06
Black Dynamite,2009,5,2023-07-09
The Slumber Party Massacre,1982,3.5,2023-07-09
Ziggy Stardust and the Spiders from Mars,1979,5,2023-07-10
Rebellion in Patagonia,1974,4.5,2023-07-14
Finally Got the News,1970,4,2023-07-15
The United Mine Workers of America 1970: A House Divided,1971,,2023-07-15
Los Trabajadores,2003,,2023-07-15
I'm NOT on the Menu,2018,,2023-07-15
Please Baby Please,2022,4.5,2023-07-16
Living with Chucky,2022,3,2023-07-18
Shit & Champagne,2020,3,2023-07-21
Thrust!,2022,2,2023-07-22
The Royal Tenenbaums,2001,4,2023-07-23
The Handmaiden,2016,4,2023-07-23
The Life Aquatic with Steve Zissou,2004,3.5,2023-07-24
Infinity Pool,2023,4,2023-07-25
Bulworth,1998,4,2023-07-27
Oppenheimer,2023,4,2023-07-27
Klute,1971,3.5,2023-07-29
Barbie,2023,4.5,2023-07-30
Guys & Balls,2004,3,2023-07-30
Being There,1979,5,2023-07-31
Daisies,1966,3.5,2023-08-04
Evil Dead Rise,2023,3,2023-08-05
Cocaine Bear,2023,1.5,2023-08-05
Cyrano,2021,4,2023-08-06
Jackass Shark Week,2021,2.5,2023-08-09
The Super Mario Bros. Movie,2023,3,2023-08-10
Smoking Causes Coughing,2022,4,2023-08-12
Harakiri,1962,4.5,2023-08-13
They Cloned Tyrone,2023,4,2023-08-14
Oldboy,2003,4.5,2023-08-16
Safe,1995,4.5,2023-08-19
Rat Race,2001,3,2023-08-19
The Wild One,1953,3.5,2023-08-20
Aftersun,2022,4.5,2023-08-24
How to Blow Up a Pipeline,2022,3.5,2023-08-26
Okja,2017,3.5,2023-08-26
Red White & Royal Blue,2023,2,2023-08-27
Texas Chainsaw Massacre,2022,1.5,2023-08-28
Party Girl,1995,3.5,2023-09-02
Phantom of the Paradise,1974,5,2023-09-02
Ghost World,2001,3.5,2023-09-03
Train to Busan,2016,4,2023-09-04
I Like Movies,2022,4,2023-09-05
Bram Stoker's Dracula,1992,4.5,2023-09-07
80 for Brady,2023,3.5,2023-09-08
Sweet Movie,1974,2,2023-09-08
Bottoms,2023,5,2023-09-09
Inside Llewyn Davis,2013,4,2023-09-10
Let the Right One In,2008,5,2023-09-11
Knives Out,2019,4,2023-09-15
Eve's Bayou,1997,4,2023-09-17
Argo,2012,3,2023-09-17
Fool's Paradise,2023,1,2023-09-19
Hoop Dreams,1994,5,2023-09-21
Machete,2007,,2023-09-21
Planet Terror,2007,3.5,2023-09-21
Werewolf Women of the S.S.,2007,,2023-09-21
Don't,2007,,2023-09-21
Thanksgiving,2007,,2023-09-21
Tales from the Crypt,1972,3,2023-09-22
Stop Making Sense,1984,5,2023-09-23
Vampire's Kiss,1988,5,2023-09-23
Malignant,2021,3.5,2023-09-24
Barton Fink,1991,4,2023-09-24
Sanctuary,2022,4,2023-09-26
Take Out,2004,4,2023-09-28
Dracula 3000,2004,0.5,2023-09-28
The Abominable Dr. Phibes,1971,3.5,2023-09-29
Flesh for Frankenstein,1973,3,2023-09-29
Stop Making Sense,1984,5,2023-09-30
Behind the Mask: The Rise of Leslie Vernon,2006,4,2023-10-04
Master Gardener,2022,3.5,2023-10-05
Hellbound: Hellraiser II,1988,4.5,2023-10-06
Camp Rock 2: The Final Jam,2010,4.5,2023-10-07
New York Ninja,2021,3.5,2023-10-08
Killer Klowns from Outer Space,1988,4,2023-10-08
Stop Making Sense,1984,5,2023-10-08
The Lost Boys,1987,4.5,2023-10-08
One Cut of the Dead,2017,4,2023-10-09
Kill Boksoon,2023,3.5,2023-10-11
Strange Way of Life,2023,4,2023-10-12
The Human Voice,2020,4.5,2023-10-12
Sick of Myself,2022,4,2023-10-12
The Virgin Suicides,1999,4,2023-10-14
The Celebration,1998,4.5,2023-10-15
Asylum,1972,2,2023-10-16
Casper,1995,2,2023-10-18
House of Wax,2005,3.5,2023-10-19
La Llorona,2019,4,2023-10-21
The Last House on the Left,1972,2.5,2023-10-21
Warm Bodies,2013,2.5,2023-10-22
The Wonderful Story of Henry Sugar,2023,4,2023-10-22
Midnight Cowboy,1969,4.5,2023-10-23
The Omen,1976,3.5,2023-10-24
Vampyr,1932,4,2023-10-25
The Hills Have Eyes,1977,3.5,2023-10-25
Black Sunday,1960,2,2023-10-26
Free Voice of Labor: The Jewish Anarchists,1980,4,2023-10-27
Victor and Victoria,1933,3.5,2023-10-27
Victor/Victoria,1982,4,2023-10-27
No Hard Feelings,2023,3,2023-10-28
Newsies,1992,5,2023-10-28
A Nightmare on Elm Street 4: The Dream Master,1988,3,2023-10-29
The Wrath of Becky,2023,3.5,2023-10-29
Ring,1998,4,2023-10-29
The Outwaters,2022,,2023-10-30
It's the Great Pumpkin Charlie Brown,1966,,2023-10-31
Wallace & Gromit: The Curse of the Were-Rabbit,2005,4.5,2023-10-31
Slotherhouse,2023,2.5,2023-10-31
Poison,2023,4.5,2023-11-01
The Rat Catcher,2023,4,2023-11-01
Passages,2023,4,2023-11-02
Theater Camp,2023,4,2023-11-04
The Swan,2023,3.5,2023-11-05
The Civil Dead,2022,4,2023-11-05
Meantime,1983,4,2023-11-06
John Wick,2014,3.5,2023-11-08
John Wick: Chapter 2,2017,4,2023-11-09
Popstar: Never Stop Never Stopping,2016,5,2023-11-11
John Wick: Chapter 3 – Parabellum,2019,4,2023-11-11
Fantastic Mr. Fox,2009,5,2023-11-12
John Wick: Chapter 4,2023,4,2023-11-14
Watermelon Man,1970,4,2023-11-15
Magic Mike XXL,2015,4.5,2023-11-16
The Holdovers,2023,5,2023-11-18
The Man Who Killed Don Quixote,2018,4,2023-11-19
A Room with a View,1986,3.5,2023-11-20
La Strada,1954,3,2023-11-21
Chris Fleming: Hell,2023,3.5,2023-11-23
The Five Devils,2022,3.5,2023-11-23
Beau Is Afraid,2023,4.5,2023-11-24
Are You There God? It's Me Margaret.,2023,3.5,2023-11-26
Hoodwinked!,2005,4,2023-11-26
Magic Mike's Last Dance,2023,3,2023-11-27
Moonage Daydream,2022,4,2023-11-29
Asteroid City,2023,4.5,2023-11-30
Dream Scenario,2023,3.5,2023-12-02
Wingwomen,2023,3.5,2023-12-03
Violent Night,2022,2.5,2023-12-03
Mike Birbiglia: The Old Man and the Pool,2023,4,2023-12-05
Piaffe,2022,3.5,2023-12-06
May December,2023,4.5,2023-12-07
The Muppet Christmas Carol,1992,4,2023-12-09
Leave the World Behind,2023,1.5,2023-12-11
Winnie the Pooh: Blood and Honey,2023,1.5,2023-12-13
Home Alone,1990,4,2023-12-16
The Naughty Nine,2023,1.5,2023-12-16
The Boy and the Heron,2023,4.5,2023-12-17
Mickey's Once Upon a Christmas,1999,4.5,2023-12-17
Christmas with the Kranks,2004,3,2023-12-17
Barbie,2023,4,2023-12-17
Home Alone 2: Lost in New York,1992,4,2023-12-17
Merry Christmas Mr. Lawrence,1983,4.5,2023-12-18
The Adventures of Baron Munchausen,1988,3.5,2023-12-19
Flora and Son,2023,4,2023-12-20
Fingernails,2023,3.5,2023-12-21
The Holiday,2006,4,2023-12-21
Saltburn,2023,2.5,2023-12-22
Treevenge,2008,4,2023-12-24
Godzilla Minus One,2023,4.5,2023-12-24
Cars,2006,4,2023-12-25
Killers of the Flower Moon,2023,4,2023-12-25
Dicks: The Musical,2023,4,2023-12-26
Poor Things,2023,4.5,2023-12-26
Anatomy of a Fall,2023,4,2023-12-26
Body and Soul,1925,,2023-12-26
Dicks: The Musical,2023,4,2023-12-27
Spider-Man: Across the Spider-Verse,2023,4.5,2023-12-27
Weekend,1967,1.5,2023-12-27
Beyond Utopia,2023,3,2023-12-28
Past Lives,2023,4,2023-12-28
Godland,2022,3.5,2023-12-29
Ghidorah the Three-Headed Monster,1964,3.5,2023-12-29
The Magician,1958,3,2023-12-30
The Ballad of Narayama,1958,4,2023-12-30
The Holdovers,2023,5,2023-12-31
Symbiopsychotaxiplasm: Take One,1968,4.5,2024-01-02
Poison,1991,4,2024-01-02
Stop Making Sense,1984,5,2024-01-02
10 Things I Hate About You,1999,3.5,2024-01-03
The Young Girls of Rochefort,1967,4.5,2024-01-05
Superstar: The Karen Carpenter Story,1987,4,2024-01-06
Escape from New York,1981,4,2024-01-06
Freaks,1932,4.5,2024-01-07
What Ever Happened to Baby Jane?,1962,4,2024-01-07
RoboCop,1987,4.5,2024-01-08
Raging Bull,1980,4,2024-01-11
Dottie Gets Spanked,1993,4.5,2024-01-11
Tokyo Drifter,1966,3,2024-01-12
Hellboy,2004,4.5,2024-01-13
Bottoms,2023,5,2024-01-14
Jawbreaker,1999,3.5,2024-01-15
Freeway,1996,5,2024-01-17
Fahrenheit 9/11,2004,3.5,2024-01-18
Daddy and the Muscle Academy,1991,3,2024-01-19
Sympathy for Mr. Vengeance,2002,4,2024-01-20
Frownland,2007,4,2024-01-20
Southland Tales,2006,3.5,2024-01-21
Safe,1995,5,2024-01-21
Vagabond,1985,4,2024-01-24
Maestro,2023,2.5,2024-01-25
Beau Travail,1999,4,2024-01-27
Bee Movie,2007,3,2024-01-27
Snakes on a Plane,2006,5,2024-01-27
The Zone of Interest,2023,5,2024-01-28
Police Story,1985,4.5,2024-01-28
The French Connection,1971,4,2024-01-31
Lessons of Darkness,1992,4,2024-02-01
Monsoon Wedding,2001,4,2024-02-02
Falcon Lake,2022,3.5,2024-02-04
The Unknown,1927,3,2024-02-04
La La Land,2016,2.5,2024-02-04
Shaft,1971,4,2024-02-05
One Flew Over the Cuckoo's Nest,1975,3.5,2024-02-08
A Matter of Life and Death,1946,4.5,2024-02-09
Rocky,1976,4,2024-02-09
Belle de Jour,1967,4,2024-02-10
Autumn Sonata,1978,4,2024-02-11
Black Swan,2010,4,2024-02-11
Sherlock Jr.,1924,4,2024-02-12
Witness for the Prosecution,1957,4.5,2024-02-15
Antichrist,2009,3,2024-02-15
2046,2004,2.5,2024-02-16
71 Fragments of a Chronology of Chance,1994,4,2024-02-17
Party Girl,1995,4.5,2024-02-18
Adam Resurrected,2008,2,2024-02-19
Wylie Avenue Days,1991,,2024-02-20
The Wind That Shakes the Barley,2006,4.5,2024-02-21
Bringing Out the Dead,1999,4.5,2024-02-22
Drive-Away Dolls,2024,2.5,2024-02-24
Sweet Sweetback's Baadasssss Song,1971,4,2024-02-25
Ratatouille,2007,5.0,2024-03-05
The Terminator,1984,5.0,2024-03-05
Tangled,2010,5.0,2024-03-07
