Name,Year,Rating,Date
House,1977,5,2021-02-07
Women on the Verge of a Nervous Breakdown,1988,4,2021-02-12
Godzilla,1954,4,2021-02-12
Shattered Glass,2003,3.5,2021-02-14
Pariah,2011,4.5,2021-02-18
Mishima: A Life in Four Chapters,1985,5,2021-02-19
Godzilla Raids Again,1955,2,2021-02-23
Fantastic Planet,1973,3.5,2021-02-23
Paddington 2,2017,5,2021-02-23
Kennywood Memories,1988,4,2021-02-24
The Birdcage,1996,4,2021-02-25
Once Upon a Time… in Hollywood,2019,3.5,2021-02-25
Judas and the Black Messiah,2021,4.5,2021-02-25
King Kong vs. Godzilla,1963,2.5,2021-02-26
Desert Hearts,1985,3.5,2021-02-26
Professor Marston and the Wonder Women,2017,4,2021-02-27
Blue Collar,1978,4,2021-02-27
Bamboozled,2000,3.5,2021-02-28
Vampire's Kiss,1988,5,2021-02-28
Matewan,1987,5,2021-03-04
Girlfriends,1978,4,2021-03-04
Blue Velvet,1986,3,2021-03-05
The Passion of Joan of Arc,1928,3,2021-03-05
The Last Temptation of Christ,1988,4.5,2021-03-06
Tom & Jerry,2021,0.5,2021-03-07
Nomadland,2020,2.5,2021-03-07
A Hot Dog Program,1999,4,2021-03-10
But I'm a Cheerleader,1999,4,2021-03-11
The Phantom Carriage,1921,,2021-03-12
Sandwiches That You Will Like,2002,4,2021-03-13
A Program About Unusual Buildings & Other Roadside Stuff,2004,3,2021-03-13
An Ice Cream Show,1996,4,2021-03-13
Coded Bias,2020,4,2021-03-14
Grey Gardens,1975,4.5,2021-03-14
Original Cast Album: Company,1970,5,2021-03-17
Blow the Man Down,2019,3.5,2021-03-18
WandaVision,2021,3,2021-03-19
The Man Who Knew Too Much,1934,3,2021-03-19
The Blues Brothers,1980,5,2021-03-21
Stop Making Sense,1984,5,2021-03-22
Citizen Kane,1941,4,2021-03-24
The Secret of Kells,2009,2.5,2021-03-25
The Uninvited,1944,3.5,2021-03-26
Promising Young Woman,2020,2,2021-03-26
Kes,1969,4.5,2021-03-27
Nine to Five,1980,3,2021-03-28
Barbarella,1968,4.5,2021-03-29
Hustlers,2019,4.5,2021-03-31
Kong: Skull Island,2017,3.5,2021-03-31
Time Bandits,1981,4,2021-04-01
Best in Show,2000,3.5,2021-04-01
Godzilla: King of the Monsters,2019,2.5,2021-04-02
Dune,1984,,2021-04-03
Barry Lyndon,1975,4.5,2021-04-04
Sunday in the Park with George,1986,5,2021-04-05
The Lighthouse,2019,5,2021-04-06
A Beautiful Day in the Neighborhood,2019,3,2021-04-07
Whiplash,2014,5,2021-04-07
Spider-Man: Far from Home,2019,3,2021-04-08
Adaptation.,2002,4.5,2021-04-08
Shiva Baby,2020,4,2021-04-09
Persona,1966,4,2021-04-09
Inland Empire,2006,4.5,2021-04-10
Speed Racer,2008,5,2021-04-11
Company,2008,5,2021-04-11
Popstar: Never Stop Never Stopping,2016,4.5,2021-04-13
On the Waterfront,1954,3.5,2021-04-14
O Brother Where Art Thou?,2000,4,2021-04-15
Network,1976,5,2021-04-16
All That Jazz,1979,4,2021-04-16
Lost Highway,1997,3.5,2021-04-17
Hot Rod,2007,4.5,2021-04-17
Young Frankenstein,1974,3,2021-04-18
Godzilla vs. Kong,2021,2,2021-04-20
Dirty Dancing,1987,4.5,2021-04-22
In Bruges,2008,2,2021-04-22
Do the Right Thing,1989,4.5,2021-04-23
Robin Hood: Men in Tights,1993,3,2021-04-24
RoboCop,1987,4,2021-04-24
Jeanne Dielman 23 quai du Commerce 1080 Bruxelles,1975,4,2021-04-25
Juno,2007,4,2021-04-25
The Godfather,1972,4,2021-04-25
Eraserhead,1977,4.5,2021-04-27
Passion,1996,4,2021-04-28
THX 1138,1971,3,2021-04-28
Mondo Trasho,1969,2.5,2021-04-28
Barb & Star Go to Vista Del Mar,2021,3.5,2021-04-29
